segment_id,time_elapsed,x,y,z
0.0,0.006,-2.681,-9.423,0.025
0.0,0.8260000000000001,-2.604,-9.423,0.029
0.0,2.036,-2.988,-9.079,0.237
0.0,2.0460000000000003,-2.988,-9.079,0.237
0.0,2.2359999999999998,-2.5660000000000003,-8.581,0.243
0.0,3.2260000000000004,-3.064,-8.466000000000001,2.254
0.0,3.233,-3.064,-8.466000000000001,2.254
0.0,3.427,-2.873,-8.81,3.295
0.0,4.4270000000000005,-2.03,-8.542,0.451
0.0,4.627000000000002,-2.221,-9.155,0.947
0.0,4.6339999999999995,-2.221,-9.155,0.947
0.0,5.6530000000000005,-0.996,-8.657,0.408
0.0,5.683000000000002,-0.996,-8.657,0.408
0.0,6.827999999999999,-2.604,-8.466000000000001,0.611
0.0,6.8340000000000005,-2.604,-8.466000000000001,0.611
0.0,7.842,-1.57,-8.925,1.818
0.0,7.94,-1.57,-8.925,1.818
0.0,8.027999999999999,-3.026,-8.466000000000001,1.237
0.0,9.052,-3.754,-9.653,0.09
0.0,9.23,-4.06,-9.423,0.017
0.0,9.236,-4.06,-9.423,0.017
0.0,10.229,1.5319999999999998,-9.5,2.047
0.0,10.237,1.5319999999999998,-9.5,2.047
0.0,11.453,-6.397,-9.385,0.0
0.0,11.493,-6.397,-9.385,0.0
0.0,12.625,-2.03,-7.202000000000001,5.606
0.0,12.634,-2.03,-7.202000000000001,5.606
0.0,13.845,-2.911,-8.083,5.606
0.0,14.027999999999999,-3.3710000000000004,-8.198,3.659
0.0,15.029000000000002,2.068,-9.308,3.708
0.0,15.036,2.068,-9.308,3.708
0.0,15.225999999999999,-0.038,-7.622999999999998,2.728
0.0,16.229000000000006,-0.344,-8.504,3.958
0.0,16.233,-0.344,-8.504,3.958
0.0,16.427,-0.229,-8.542,3.978
0.0,17.253,-0.996,-9.194,1.575
0.0,17.438000000000002,-1.494,-8.964,0.406
0.0,17.444000000000006,-1.494,-8.964,0.406
0.0,18.438,-5.209,-8.351,0.097
0.0,18.641,0.8420000000000001,-11.186,0.112
0.0,19.453000000000007,1.4169999999999998,-9.615,0.415
0.0,19.848000000000006,0.153,-9.692,0.333
0.0,20.648000000000003,-2.834,-8.696,2.301
0.0,20.654,-2.834,-8.696,2.301
0.0,21.049000000000003,-4.865,-8.121,0.242
0.0,21.848000000000006,-2.26,-9.807,0.045
0.0,22.049000000000003,-2.719,-9.538,0.05
0.0,22.846,-2.604,-9.27,0.35100000000000003
0.0,22.854000000000006,-2.604,-9.27,0.35100000000000003
0.0,23.296000000000006,-0.919,-9.308,0.409
0.0,23.395000000000003,-0.919,-9.308,0.409
0.0,24.052000000000003,-1.11,-9.538,0.16899999999999998
0.0,24.065,-1.11,-9.538,0.16899999999999998
0.0,24.656999999999996,-1.838,-9.615,0.108
0.0,25.256999999999998,-4.635,-9.27,0.183
0.0,25.859,0.191,-9.079,0.146
0.0,26.456999999999997,2.988,-9.194,0.029
0.0,27.063,2.106,-9.232,0.069
0.0,27.655,1.455,-9.807,0.078
0.0,28.459000000000003,-1.685,-9.079,0.733
